日期,委托时间,品种,标的,交易类型,下单类型,成交数量,成交价,成交额,委托数量,委托价格,平仓盈亏,手续费,状态,最后更新时间
2026-02-03,10:30:00,股票,财信发展(000838.XSHE),买,市价单,12100股,2.39,28919,12100股,-,0,2.89,全部成交,2026-02-03 10:30:00
2026-02-03,10:30:00,股票,宝馨科技(002514.XSHE),买,市价单,5900股,4.87,28733,5900股,-,0,2.87,全部成交,2026-02-03 10:30:00
2026-02-03,10:30:00,股票,顾地科技(002694.XSHE),买,市价单,9400股,3.08,28952,9400股,-,0,2.9,全部成交,2026-02-03 10:30:00
2026-02-04,14:55:00,股票,皇庭国际(000056.XSHE),卖,市价单,-16300股,1.89,-30807,-16300股,-,1793,18.48,全部成交,2026-02-04 14:55:00
2026-02-04,14:55:00,股票,西藏旅游(600749.XSHG),买,市价单,1800股,16.66,29988,1800股,-,0,3,全部成交,2026-02-04 14:55:00
2026-02-05,14:20:00,股票,财信发展(000838.XSHE),卖,市价单,-12100股,2.68,-32428,-12100股,-,3509,19.46,全部成交,2026-02-05 14:20:00
2026-02-05,14:20:00,股票,奥特迅(002227.XSHE),买,市价单,3100股,9.87,30597,3100股,-,0,3.06,全部成交,2026-02-05 14:20:00
2026-02-06,14:20:00,股票,双乐股份(301036.XSHE),卖,市价单,-800股,36.29,-29032,-800股,-,3024,17.42,全部成交,2026-02-06 14:20:00
2026-02-06,14:20:00,股票,万憬能源(002700.XSHE),买,市价单,4200股,7.39,31038,4200股,-,0,3.1,全部成交,2026-02-06 14:20:00
2026-02-09,14:20:00,股票,宝馨科技(002514.XSHE),卖,市价单,-5900股,5.54,-32686,-5900股,-,3953,19.61,全部成交,2026-02-09 14:20:00
2026-02-09,14:20:00,股票,中岩大地(003001.XSHE),买,市价单,1500股,20.21,30315,1500股,-,0,3.03,全部成交,2026-02-09 14:20:00
2026-02-10,10:15:00,股票,顾地科技(002694.XSHE),卖,市价单,-9400股,3.45,-32430,-9400股,-,3478,19.46,全部成交,2026-02-10 10:15:00
2026-02-10,10:30:00,股票,双乐股份(301036.XSHE),买,市价单,900股,35.4,31860,900股,-,0,3.19,全部成交,2026-02-10 10:30:00
2026-03-03,10:00:00,股票,双乐股份(301036.XSHE),卖,市价单,-900股,31.96,-28764,-900股,-,-3096,17.26,全部成交,2026-03-03 10:00:00
2026-03-03,10:15:00,股票,万憬能源(002700.XSHE),卖,市价单,-4200股,7.79,-32718,-4200股,-,1680,19.63,全部成交,2026-03-03 10:15:00
2026-03-03,10:30:00,股票,永安药业(002365.XSHE),买,市价单,2100股,14.31,30051,2100股,-,0,3.01,全部成交,2026-03-03 10:30:00
2026-03-03,10:30:00,股票,宝馨科技(002514.XSHE),买,市价单,6200股,4.92,30504,6200股,-,0,3.05,全部成交,2026-03-03 10:30:00
2026-03-09,14:20:00,股票,奥特迅(002227.XSHE),卖,市价单,-3100股,10.44,-32364,-3100股,-,1767,19.42,全部成交,2026-03-09 14:20:00
2026-03-09,14:20:00,股票,天地在线(002995.XSHE),买,市价单,1300股,23.7,30810,1300股,-,0,3.08,全部成交,2026-03-09 14:20:00
2026-03-10,10:15:00,股票,宝馨科技(002514.XSHE),卖,市价单,-6200股,5.16,-31992,-6200股,-,1488,19.2,全部成交,2026-03-10 10:15:00
2026-03-10,10:30:00,股票,大业股份(603278.XSHG),买,市价单,2600股,11.87,30862,2600股,-,0,3.09,全部成交,2026-03-10 10:30:00
2026-03-17,10:15:00,股票,天玑科技(300245.XSHE),卖,市价单,-2300股,12.21,-28083,-2300股,-,-1035,16.85,全部成交,2026-03-17 10:15:00
2026-03-17,10:15:00,股票,大业股份(603278.XSHG),卖,市价单,-2600股,11.46,-29796,-2600股,-,-1066,17.88,全部成交,2026-03-17 10:15:00
2026-03-17,10:30:00,股票,湘邮科技(600476.XSHG),买,市价单,2700股,11.81,31887,2700股,-,0,3.19,全部成交,2026-03-17 10:30:00
2026-03-17,10:30:00,股票,宝馨科技(002514.XSHE),买,市价单,6400股,4.98,31872,6400股,-,0,3.19,全部成交,2026-03-17 10:30:00
2026-03-17,14:20:00,股票,天地在线(002995.XSHE),卖,市价单,-1300股,26.33,-34229,-1300股,-,3419,20.54,全部成交,2026-03-17 14:20:00
2026-03-17,14:20:00,股票,捷荣技术(002855.XSHE),买,市价单,2500股,12.39,30975,2500股,-,0,3.1,全部成交,2026-03-17 14:20:00
2026-03-20,10:00:00,股票,中岩大地(003001.XSHE),卖,市价单,-1500股,18.09,-27135,-1500股,-,-3180,16.28,全部成交,2026-03-20 10:00:00
2026-03-23,10:00:00,股票,湘邮科技(600476.XSHG),卖,市价单,-2700股,10.52,-28404,-2700股,-,-3483,17.04,全部成交,2026-03-23 10:00:00
2026-03-24,10:00:00,股票,捷荣技术(002855.XSHE),卖,市价单,-2500股,11.25,-28125,-2500股,-,-2850,16.88,全部成交,2026-03-24 10:00:00
2026-03-24,10:15:00,股票,宝馨科技(002514.XSHE),卖,市价单,-6400股,4.57,-29248,-6400股,-,-2624,17.55,全部成交,2026-03-24 10:15:00
2026-03-24,10:30:00,股票,双乐股份(301036.XSHE),买,市价单,1000股,27.36,27360,1000股,-,0,2.74,全部成交,2026-03-24 10:30:00
2026-03-24,10:30:00,股票,天玑科技(300245.XSHE),买,市价单,2600股,10.91,28366,2600股,-,0,2.84,全部成交,2026-03-24 10:30:00
