日期,委托时间,品种,标的,交易类型,下单类型,成交数量,成交价,成交额,委托数量,委托价格,平仓盈亏,手续费,状态,最后更新时间
2026-02-04,13:09:00,基金,中证2000(563300.XSHG),卖,市价单,-152800股,1.479,-225991.2,-152800股,-,-305.6,45.2,全部成交,2026-02-04 13:09:00
2026-02-04,13:10:00,基金,恒生股息(513690.XSHG),买,市价单,194900股,1.159,225889.1,194900股,-,0,45.18,全部成交,2026-02-04 13:10:00
2026-02-09,13:09:00,基金,恒生股息(513690.XSHG),卖,市价单,-194900股,1.162,-226473.8,-194900股,-,584.7,45.29,全部成交,2026-02-09 13:09:00
2026-02-09,13:10:00,基金,南方原油(501018.XSHG),买,市价单,172000股,1.316,226352,172000股,-,0,45.27,全部成交,2026-02-09 13:10:00
2026-02-10,13:09:00,基金,南方原油(501018.XSHG),卖,市价单,-172000股,1.357,-233404,-172000股,-,7052,46.68,全部成交,2026-02-10 13:09:00
2026-02-10,13:10:00,基金,中韩芯片(513310.XSHG),买,市价单,66800股,3.493,233332.4,66800股,-,0,46.67,全部成交,2026-02-10 13:10:00
2026-02-11,13:09:00,基金,中韩芯片(513310.XSHG),卖,市价单,-66800股,3.428,-228990.4,-66800股,-,-4342,45.8,全部成交,2026-02-11 13:09:00
2026-02-11,13:10:00,基金,南方原油(501018.XSHG),买,市价单,162300股,1.41,228843,162300股,-,0,45.77,全部成交,2026-02-11 13:10:00
2026-02-12,09:45:00,基金,南方原油(501018.XSHG),卖,市价单,-162300股,1.368,-222026.4,-162300股,-,-6816.6,44.41,全部成交,2026-02-12 09:45:00
2026-02-12,13:10:00,基金,恒生股息(513690.XSHG),买,市价单,189100股,1.174,222003.4,189100股,-,0,44.4,全部成交,2026-02-12 13:10:00
2026-02-24,13:09:00,基金,恒生股息(513690.XSHG),卖,市价单,-189100股,1.185,-224083.5,-189100股,-,2080.1,44.82,全部成交,2026-02-24 13:09:00
2026-02-24,13:10:00,基金,中韩芯片(513310.XSHG),买,市价单,59000股,3.793,223787,59000股,-,0,44.76,全部成交,2026-02-24 13:10:00
2026-02-27,13:09:00,基金,中韩芯片(513310.XSHG),卖,市价单,-59000股,4.302,-253818,-59000股,-,30031,50.76,全部成交,2026-02-27 13:09:00
2026-02-27,13:10:00,基金,南方原油(501018.XSHG),买,市价单,177800股,1.428,253898.4,177800股,-,0,50.78,全部成交,2026-02-27 13:10:00
2026-03-04,13:09:00,基金,南方原油(501018.XSHG),卖,市价单,-177800股,1.793,-318795.4,-177800股,-,64897,63.76,全部成交,2026-03-04 13:09:00
2026-03-04,13:10:00,基金,自由现金流ETF华夏(159201.XSHE),买,市价单,234200股,1.361,318746.2,234200股,-,0,63.75,全部成交,2026-03-04 13:10:00
2026-03-05,13:09:00,基金,自由现金流ETF华夏(159201.XSHE),卖,市价单,-234200股,1.383,-323898.6,-234200股,-,5152.4,64.78,全部成交,2026-03-05 13:09:00
2026-03-05,13:10:00,基金,恒生股息(513690.XSHG),买,市价单,273400股,1.184,323705.6,273400股,-,0,64.74,全部成交,2026-03-05 13:10:00
2026-03-06,13:09:00,基金,恒生股息(513690.XSHG),卖,市价单,-273400股,1.176,-321518.4,-273400股,-,-2187.2,64.3,全部成交,2026-03-06 13:09:00
2026-03-06,13:10:00,基金,豆粕ETF华夏(159985.XSHE),买,市价单,150000股,2.143,321450,150000股,-,0,64.29,全部成交,2026-03-06 13:10:00
2026-03-09,13:09:00,基金,豆粕ETF华夏(159985.XSHE),卖,市价单,-150000股,2.317,-347550,-150000股,-,26100,69.51,全部成交,2026-03-09 13:09:00
2026-03-10,13:10:00,基金,豆粕ETF华夏(159985.XSHE),买,市价单,155300股,2.236,347250.8,155300股,-,0,69.45,全部成交,2026-03-10 13:10:00
2026-03-10,13:45:00,基金,豆粕ETF华夏(159985.XSHE),卖,市价单,-155300股,2.202,-341970.6,-155300股,-,-5280.2,68.39,全部成交,2026-03-10 13:45:00
2026-03-11,13:10:00,基金,豆粕ETF华夏(159985.XSHE),买,市价单,153100股,2.234,342025.4,153100股,-,0,68.41,全部成交,2026-03-11 13:10:00
2026-03-13,13:09:00,基金,豆粕ETF华夏(159985.XSHE),卖,市价单,-153100股,2.329,-356569.9,-153100股,-,14544.5,71.31,全部成交,2026-03-13 13:09:00
2026-03-13,13:10:00,基金,南方原油(501018.XSHG),买,市价单,201300股,1.77,356301,201300股,-,0,71.26,全部成交,2026-03-13 13:10:00
