日期,委托时间,品种,标的,交易类型,下单类型,成交数量,成交价,成交额,委托数量,委托价格,平仓盈亏,手续费,状态,最后更新时间
2025-09-25,13:11:00,基金,消费电子ETF华夏(159732.XSHE),买,市价单,129600股,1.199,155390.4,129600股,-,0,15.54,全部成交,2025-09-25 13:11:00
2025-09-29,13:10:00,基金,消费电子ETF华夏(159732.XSHE),卖,市价单,-129600股,1.163,-150724.8,-129600股,-,-4665.6,15.07,全部成交,2025-09-29 13:10:00
2025-09-29,13:11:00,基金,科创芯(588890.XSHG),买,市价单,54400股,2.768,150579.2,54400股,-,0,15.06,全部成交,2025-09-29 13:11:00
2025-09-30,13:10:00,基金,科创芯(588890.XSHG),卖,市价单,-54400股,2.888,-157107.2,-54400股,-,6528,15.71,全部成交,2025-09-30 13:10:00
2025-09-30,13:11:00,基金,科芯片(588990.XSHG),买,市价单,59000股,2.662,157058,59000股,-,0,15.71,全部成交,2025-09-30 13:11:00
2025-10-09,13:10:00,基金,科芯片(588990.XSHG),卖,市价单,-59000股,2.844,-167796,-59000股,-,10738,16.78,全部成交,2025-10-09 13:10:00
2025-10-09,13:11:00,基金,创业板50ETF华安(159949.XSHE),买,市价单,107600股,1.559,167748.4,107600股,-,0,16.77,全部成交,2025-10-09 13:11:00
2025-10-10,13:10:00,基金,创业板50ETF华安(159949.XSHE),卖,市价单,-107600股,1.484,-159678.4,-107600股,-,-8070,15.97,全部成交,2025-10-10 13:10:00
2025-10-10,13:11:00,基金,银华日利(511880.XSHG),买,市价单,1500股,100.969,151453.5,1500股,-,0,15.15,全部成交,2025-10-10 13:11:00
2025-10-13,13:10:00,基金,银华日利(511880.XSHG),卖,市价单,-1500股,100.962,-151443,-1500股,-,-10.5,15.14,全部成交,2025-10-13 13:10:00
2025-10-13,13:11:00,基金,国投白银LOF(161226.XSHE),买,市价单,120600股,1.324,159674.4,120600股,-,0,15.97,全部成交,2025-10-13 13:11:00
2025-10-14,13:10:00,基金,国投白银LOF(161226.XSHE),卖,市价单,-120600股,1.465,-176679,-120600股,-,17004.6,17.67,全部成交,2025-10-14 13:10:00
2025-10-14,13:11:00,基金,纳指科技ETF景顺(159509.XSHE),买,市价单,85700股,2.06,176542,85700股,-,0,17.65,全部成交,2025-10-14 13:11:00
2025-10-15,13:10:00,基金,纳指科技ETF景顺(159509.XSHE),卖,市价单,-85700股,2.076,-177913.2,-85700股,-,1371.2,17.79,全部成交,2025-10-15 13:10:00
2025-10-15,13:11:00,基金,电网设备ETF华夏(159326.XSHE),买,市价单,128700股,1.383,177992.1,128700股,-,0,17.8,全部成交,2025-10-15 13:11:00
2025-10-16,13:10:00,基金,电网设备ETF华夏(159326.XSHE),卖,市价单,-128700股,1.408,-181209.6,-128700股,-,3217.5,18.12,全部成交,2025-10-16 13:10:00
2025-10-16,13:11:00,基金,黄金ETF(518880.XSHG),买,市价单,19500股,9.277,180901.5,19500股,-,0,18.09,全部成交,2025-10-16 13:11:00
2025-10-17,13:10:00,基金,黄金ETF(518880.XSHG),卖,市价单,-19500股,9.576,-186732,-19500股,-,5830.5,18.67,全部成交,2025-10-17 13:10:00
2025-10-17,13:11:00,基金,有色ETF(512400.XSHG),买,市价单,110500股,1.692,186966,110500股,-,0,18.7,全部成交,2025-10-17 13:11:00
2025-10-21,13:10:00,基金,有色ETF(512400.XSHG),卖,市价单,-110500股,1.675,-185087.5,-110500股,-,-1878.5,18.51,全部成交,2025-10-21 13:10:00
2025-10-21,13:11:00,基金,标普生物科技ETF嘉实(159502.XSHE),买,市价单,159000股,1.164,185076,159000股,-,0,18.51,全部成交,2025-10-21 13:11:00
2025-10-22,13:10:00,基金,标普生物科技ETF嘉实(159502.XSHE),卖,市价单,-159000股,1.16,-184440,-159000股,-,-636,18.44,全部成交,2025-10-22 13:10:00
2025-10-22,13:11:00,基金,中韩芯片(513310.XSHG),买,市价单,77200股,2.387,184276.4,77200股,-,0,18.43,全部成交,2025-10-22 13:11:00
2025-10-23,13:10:00,基金,中韩芯片(513310.XSHG),卖,市价单,-77200股,2.369,-182886.8,-77200股,-,-1389.6,18.29,全部成交,2025-10-23 13:10:00
2025-10-23,13:11:00,基金,日经ETF(513520.XSHG),买,市价单,97500股,1.877,183007.5,97500股,-,0,18.3,全部成交,2025-10-23 13:11:00
2025-10-27,13:10:00,基金,日经ETF(513520.XSHG),卖,市价单,-97500股,1.924,-187590,-97500股,-,4582.5,18.76,全部成交,2025-10-27 13:10:00
2025-10-27,13:11:00,基金,标普生物科技ETF嘉实(159502.XSHE),买,市价单,161800股,1.159,187526.2,161800股,-,0,18.75,全部成交,2025-10-27 13:11:00
2025-11-03,13:10:00,基金,标普生物科技ETF嘉实(159502.XSHE),卖,市价单,-161800股,1.207,-195292.6,-161800股,-,7766.4,19.53,全部成交,2025-11-03 13:10:00
2025-11-03,13:11:00,基金,纳指科技ETF景顺(159509.XSHE),买,市价单,85300股,2.288,195166.4,85300股,-,0,19.52,全部成交,2025-11-03 13:11:00
2025-11-07,13:10:00,基金,纳指科技ETF景顺(159509.XSHE),卖,市价单,-85300股,2.24,-191072,-85300股,-,-4094.4,19.11,全部成交,2025-11-07 13:10:00
2025-11-07,13:11:00,基金,225ETF(513000.XSHG),买,市价单,101000股,1.892,191092,101000股,-,0,19.11,全部成交,2025-11-07 13:11:00
2025-11-10,13:10:00,基金,225ETF(513000.XSHG),卖,市价单,-101000股,1.94,-195940,-101000股,-,4848,19.59,全部成交,2025-11-10 13:10:00
2025-11-10,13:11:00,基金,中韩芯片(513310.XSHG),买,市价单,72900股,2.688,195955.2,72900股,-,0,19.6,全部成交,2025-11-10 13:11:00
2025-11-14,13:10:00,基金,中韩芯片(513310.XSHG),卖,市价单,-72900股,2.595,-189175.5,-72900股,-,-6779.7,18.92,全部成交,2025-11-14 13:10:00
2025-11-14,13:11:00,基金,新能源(516160.XSHG),买,市价单,61100股,3.094,189043.4,61100股,-,0,18.9,全部成交,2025-11-14 13:11:00
2025-11-17,13:10:00,基金,新能源(516160.XSHG),卖,市价单,-61100股,3.051,-186416.1,-61100股,-,-2627.3,18.64,全部成交,2025-11-17 13:10:00
2025-11-17,13:11:00,基金,科创新能(588830.XSHG),买,市价单,114300股,1.631,186423.3,114300股,-,0,18.64,全部成交,2025-11-17 13:11:00
2025-11-18,13:10:00,基金,科创新能(588830.XSHG),卖,市价单,-114300股,1.585,-181165.5,-114300股,-,-5257.8,18.12,全部成交,2025-11-18 13:10:00
2025-11-18,13:11:00,基金,银华日利(511880.XSHG),买,市价单,1700股,101.086,171846.2,1700股,-,0,17.18,全部成交,2025-11-18 13:11:00
2025-11-20,13:10:00,基金,银华日利(511880.XSHG),卖,市价单,-1700股,101.095,-171861.5,-1700股,-,15.3,17.19,全部成交,2025-11-20 13:10:00
2025-11-20,13:11:00,基金,标普生物科技ETF嘉实(159502.XSHE),买,市价单,149300股,1.213,181100.9,149300股,-,0,18.11,全部成交,2025-11-20 13:11:00
2025-11-21,10:31:00,基金,标普生物科技ETF嘉实(159502.XSHE),卖,市价单,-149300股,1.199,-179010.7,-149300股,-,-2090.2,17.9,全部成交,2025-11-21 10:31:00
2025-11-24,13:11:00,基金,纳指生物(513290.XSHG),买,市价单,118800股,1.506,178912.8,118800股,-,0,17.89,全部成交,2025-11-24 13:11:00
2025-12-01,13:10:00,基金,纳指生物(513290.XSHG),卖,市价单,-118800股,1.586,-188416.8,-118800股,-,9504,18.84,全部成交,2025-12-01 13:10:00
2025-12-01,13:11:00,基金,标普生物科技ETF嘉实(159502.XSHE),买,市价单,142800股,1.32,188496,142800股,-,0,18.85,全部成交,2025-12-01 13:11:00
2025-12-02,13:10:00,基金,标普生物科技ETF嘉实(159502.XSHE),卖,市价单,-142800股,1.29,-184212,-142800股,-,-4284,18.42,全部成交,2025-12-02 13:10:00
