日期,委托时间,品种,标的,交易类型,下单类型,成交数量,成交价,成交额,委托数量,委托价格,平仓盈亏,手续费,状态,最后更新时间
2025-09-16,14:00:00,基金,人工智能ETF易方达(159819.XSHE),买,市价单,108400股,1.48,160432,108400股,-,0,16.04,全部成交,2025-09-16 14:00:00
2025-09-17,13:10:00,基金,人工智能ETF易方达(159819.XSHE),卖,市价单,-108400股,1.468,-159131.2,-108400股,-,-1300.8,15.91,全部成交,2025-09-17 13:10:00
2025-09-17,14:00:00,基金,创业板人工智能ETF华宝(159363.XSHE),买,市价单,182700股,0.871,159131.7,182700股,-,0,15.91,全部成交,2025-09-17 14:00:00
2025-09-18,13:10:00,基金,创业板人工智能ETF华宝(159363.XSHE),卖,市价单,-182700股,0.882,-161141.4,-182700股,-,2009.7,16.11,全部成交,2025-09-18 13:10:00
2025-09-18,13:10:00,基金,光伏ETF(515790.XSHG),买,市价单,176300股,0.914,161138.2,176300股,-,0,16.11,全部成交,2025-09-18 13:10:00
2025-09-19,13:10:00,基金,光伏ETF(515790.XSHG),卖,市价单,-176300股,0.897,-158141.1,-176300股,-,-2997.1,15.81,全部成交,2025-09-19 13:10:00
2025-09-19,13:10:00,基金,电子ETF(515260.XSHG),买,市价单,237400股,0.666,158108.4,237400股,-,0,15.81,全部成交,2025-09-19 13:10:00
2025-09-22,13:10:00,基金,电子ETF(515260.XSHG),卖,市价单,-237400股,0.685,-162619,-237400股,-,4510.6,16.26,全部成交,2025-09-22 13:10:00
2025-09-22,13:10:00,基金,环保ETF(512580.XSHG),买,市价单,137100股,1.186,162600.6,137100股,-,0,16.26,全部成交,2025-09-22 13:10:00
2025-09-23,13:10:00,基金,环保ETF(512580.XSHG),卖,市价单,-137100股,1.175,-161092.5,-137100股,-,-1508.1,16.11,全部成交,2025-09-23 13:10:00
2025-09-23,14:30:00,基金,碳中和ETF华夏(159790.XSHE),买,市价单,224600股,0.717,161038.2,224600股,-,0,16.1,全部成交,2025-09-23 14:30:00
2025-09-25,13:10:00,基金,碳中和ETF华夏(159790.XSHE),卖,市价单,-224600股,0.759,-170471.4,-224600股,-,9433.2,17.05,全部成交,2025-09-25 13:10:00
2025-09-25,13:10:00,基金,消费电子ETF华夏(159732.XSHE),买,市价单,141800股,1.202,170443.6,141800股,-,0,17.04,全部成交,2025-09-25 13:10:00
2025-09-29,13:10:00,基金,消费电子ETF华夏(159732.XSHE),卖,市价单,-141800股,1.163,-164913.4,-141800股,-,-5530.2,16.49,全部成交,2025-09-29 13:10:00
2025-09-29,14:00:00,基金,科创芯(588890.XSHG),买,市价单,58700股,2.806,164712.2,58700股,-,0,16.47,全部成交,2025-09-29 14:00:00
2025-09-30,13:10:00,基金,科创芯(588890.XSHG),卖,市价单,-58700股,2.888,-169525.6,-58700股,-,4813.4,16.95,全部成交,2025-09-30 13:10:00
2025-09-30,14:30:00,基金,科芯片(588990.XSHG),买,市价单,63700股,2.661,169505.7,63700股,-,0,16.95,全部成交,2025-09-30 14:30:00
2025-10-09,13:10:00,基金,科芯片(588990.XSHG),卖,市价单,-63700股,2.844,-181162.8,-63700股,-,11657.1,18.12,全部成交,2025-10-09 13:10:00
2025-10-09,13:40:00,基金,创业板50ETF华安(159949.XSHE),买,市价单,116100股,1.561,181232.1,116100股,-,0,18.12,全部成交,2025-10-09 13:40:00
2025-10-10,11:24:00,基金,创业板50ETF华安(159949.XSHE),卖,市价单,-116100股,1.482,-172060.2,-116100股,-,-9171.9,17.21,全部成交,2025-10-10 11:24:00
2025-10-10,14:55:00,基金,恒生互联(513330.XSHG),买,市价单,289700股,0.594,172081.8,289700股,-,0,17.21,全部成交,2025-10-10 14:55:00
2025-10-13,13:10:00,基金,恒生互联(513330.XSHG),卖,市价单,-289700股,0.574,-166287.8,-289700股,-,-5794,16.63,全部成交,2025-10-13 13:10:00
2025-10-13,13:10:00,基金,国投白银LOF(161226.XSHE),买,市价单,125700股,1.322,166175.4,125700股,-,0,16.62,全部成交,2025-10-13 13:10:00
2025-10-14,13:10:00,基金,国投白银LOF(161226.XSHE),卖,市价单,-125700股,1.465,-184150.5,-125700股,-,17975.1,18.42,全部成交,2025-10-14 13:10:00
2025-10-14,14:55:00,基金,纳指科技ETF景顺(159509.XSHE),买,市价单,90800股,2.028,184142.4,90800股,-,0,18.41,全部成交,2025-10-14 14:55:00
2025-10-15,13:10:00,基金,纳指科技ETF景顺(159509.XSHE),卖,市价单,-90800股,2.076,-188500.8,-90800股,-,4358.4,18.85,全部成交,2025-10-15 13:10:00
2025-10-15,13:10:00,基金,黄金ETF(518880.XSHG),买,市价单,20600股,9.145,188387,20600股,-,0,18.84,全部成交,2025-10-15 13:10:00
2025-10-17,13:10:00,基金,黄金ETF(518880.XSHG),卖,市价单,-20600股,9.576,-197265.6,-20600股,-,8878.6,19.73,全部成交,2025-10-17 13:10:00
2025-10-17,14:10:00,基金,标普生物科技ETF嘉实(159502.XSHE),买,市价单,173600股,1.137,197383.2,173600股,-,0,19.74,全部成交,2025-10-17 14:10:00
2025-10-20,13:10:00,基金,标普生物科技ETF嘉实(159502.XSHE),卖,市价单,-173600股,1.147,-199119.2,-173600股,-,1736,19.91,全部成交,2025-10-20 13:10:00
2025-10-20,14:55:00,基金,中韩芯片(513310.XSHG),买,市价单,83500股,2.384,199064,83500股,-,0,19.91,全部成交,2025-10-20 14:55:00
2025-10-22,13:10:00,基金,中韩芯片(513310.XSHG),卖,市价单,-83500股,2.388,-199398,-83500股,-,334,19.94,全部成交,2025-10-22 13:10:00
2025-10-22,14:00:00,基金,纳指科技ETF景顺(159509.XSHE),买,市价单,90700股,2.198,199358.6,90700股,-,0,19.94,全部成交,2025-10-22 14:00:00
2025-10-23,13:10:00,基金,纳指科技ETF景顺(159509.XSHE),卖,市价单,-90700股,2.188,-198451.6,-90700股,-,-907,19.85,全部成交,2025-10-23 13:10:00
2025-10-23,14:10:00,基金,日经ETF(513520.XSHG),买,市价单,105500股,1.88,198340,105500股,-,0,19.83,全部成交,2025-10-23 14:10:00
2025-10-24,13:10:00,基金,日经ETF(513520.XSHG),卖,市价单,-105500股,1.9,-200450,-105500股,-,2110,20.05,全部成交,2025-10-24 13:10:00
2025-10-24,14:00:00,基金,标普生物科技ETF嘉实(159502.XSHE),买,市价单,176300股,1.137,200453.1,176300股,-,0,20.05,全部成交,2025-10-24 14:00:00
2025-11-03,13:10:00,基金,标普生物科技ETF嘉实(159502.XSHE),卖,市价单,-176300股,1.207,-212794.1,-176300股,-,12341,21.28,全部成交,2025-11-03 13:10:00
2025-11-03,14:55:00,基金,纳指科技ETF景顺(159509.XSHE),买,市价单,92900股,2.289,212648.1,92900股,-,0,21.26,全部成交,2025-11-03 14:55:00
2025-11-05,09:30:00,基金,纳指科技ETF景顺(159509.XSHE),卖,市价单,-92900股,2.15,-199735,-92900股,-,-12913.1,19.97,全部成交,2025-11-05 09:30:00
2025-11-05,13:10:00,基金,日经ETF(513520.XSHG),买,市价单,105600股,1.891,199689.6,105600股,-,0,19.97,全部成交,2025-11-05 13:10:00
2025-11-10,13:10:00,基金,日经ETF(513520.XSHG),卖,市价单,-105600股,1.954,-206342.4,-105600股,-,6652.8,20.63,全部成交,2025-11-10 13:10:00
2025-11-10,14:30:00,基金,中韩芯片(513310.XSHG),买,市价单,76700股,2.691,206399.7,76700股,-,0,20.64,全部成交,2025-11-10 14:30:00
2025-11-14,13:10:00,基金,中韩芯片(513310.XSHG),卖,市价单,-76700股,2.595,-199036.5,-76700股,-,-7363.2,19.9,全部成交,2025-11-14 13:10:00
2025-11-14,13:10:00,基金,新能源(516160.XSHG),买,市价单,64200股,3.096,198763.2,64200股,-,0,19.88,全部成交,2025-11-14 13:10:00
2025-11-17,13:10:00,基金,新能源(516160.XSHG),卖,市价单,-64200股,3.051,-195874.2,-64200股,-,-2889,19.59,全部成交,2025-11-17 13:10:00
2025-11-17,14:40:00,基金,纳指生物(513290.XSHG),买,市价单,131000股,1.497,196107,131000股,-,0,19.61,全部成交,2025-11-17 14:40:00
2025-11-28,13:10:00,基金,纳指生物(513290.XSHG),卖,市价单,-131000股,1.605,-210255,-131000股,-,14148,21.03,全部成交,2025-11-28 13:10:00
2025-11-28,14:55:00,基金,标普生物科技ETF嘉实(159502.XSHE),买,市价单,155700股,1.35,210195,155700股,-,0,21.02,全部成交,2025-11-28 14:55:00
2025-12-02,13:10:00,基金,标普生物科技ETF嘉实(159502.XSHE),卖,市价单,-155700股,1.29,-200853,-155700股,-,-9342,20.09,全部成交,2025-12-02 13:10:00
2025-12-02,13:40:00,基金,国投白银LOF(161226.XSHE),买,市价单,123100股,1.631,200776.1,123100股,-,0,20.08,全部成交,2025-12-02 13:40:00
2025-12-03,13:10:00,基金,国投白银LOF(161226.XSHE),卖,市价单,-123100股,1.671,-205700.1,-123100股,-,4924,20.57,全部成交,2025-12-03 13:10:00
2025-12-03,13:10:00,基金,标普生物科技ETF嘉实(159502.XSHE),买,市价单,161400股,1.274,205623.6,161400股,-,0,20.56,全部成交,2025-12-03 13:10:00
2025-12-11,13:10:00,基金,标普生物科技ETF嘉实(159502.XSHE),卖,市价单,-161400股,1.317,-212563.8,-161400股,-,6940.2,21.26,全部成交,2025-12-11 13:10:00
2025-12-11,14:55:00,基金,通信ETF富国(159583.XSHE),买,市价单,174500股,1.218,212541,174500股,-,0,21.25,全部成交,2025-12-11 14:55:00
2025-12-12,13:10:00,基金,通信ETF富国(159583.XSHE),卖,市价单,-174500股,1.235,-215507.5,-174500股,-,2966.5,21.55,全部成交,2025-12-12 13:10:00
2025-12-12,13:10:00,基金,标普生物科技ETF嘉实(159502.XSHE),买,市价单,162600股,1.325,215445,162600股,-,0,21.54,全部成交,2025-12-12 13:10:00
2025-12-15,13:10:00,基金,标普生物科技ETF嘉实(159502.XSHE),卖,市价单,-162600股,1.327,-215770.2,-162600股,-,325.2,21.58,全部成交,2025-12-15 13:10:00
2025-12-15,13:10:00,基金,卫星ETF永赢(159206.XSHE),买,市价单,155300股,1.389,215711.7,155300股,-,0,21.57,全部成交,2025-12-15 13:10:00
2025-12-16,13:10:00,基金,卫星ETF永赢(159206.XSHE),卖,市价单,-155300股,1.362,-211518.6,-155300股,-,-4193.1,21.15,全部成交,2025-12-16 13:10:00
2025-12-16,13:10:00,基金,标普生物科技ETF嘉实(159502.XSHE),买,市价单,161800股,1.307,211472.6,161800股,-,0,21.15,全部成交,2025-12-16 13:10:00
2025-12-17,13:10:00,基金,标普生物科技ETF嘉实(159502.XSHE),卖,市价单,-161800股,1.289,-208560.2,-161800股,-,-2912.4,20.86,全部成交,2025-12-17 13:10:00
2025-12-17,13:10:00,基金,有色ETF大成(159980.XSHE),买,市价单,109900股,1.898,208590.2,109900股,-,0,20.86,全部成交,2025-12-17 13:10:00
2025-12-18,13:10:00,基金,有色ETF大成(159980.XSHE),卖,市价单,-109900股,1.899,-208700.1,-109900股,-,109.9,20.87,全部成交,2025-12-18 13:10:00
2025-12-18,14:10:00,基金,通信ETF(515880.XSHG),买,市价单,71000股,2.938,208598,71000股,-,0,20.86,全部成交,2025-12-18 14:10:00
